"","Div","Season","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR"
"40","SP1","201617","19/09/16","Alaves","La Coruna",0,0,"D",0,0,"D"
"41","SP1","201617","20/09/16","Malaga","Eibar",2,1,"H",1,1,"D"
"42","SP1","201617","20/09/16","Sevilla","Betis",1,0,"H",0,0,"D"
"43","SP1","201617","21/09/16","Barcelona","Ath Madrid",1,1,"D",1,0,"H"
"44","SP1","201617","21/09/16","Celta","Sp Gijon",2,1,"H",0,0,"D"
"45","SP1","201617","21/09/16","Granada","Ath Bilbao",1,2,"A",1,1,"D"
"46","SP1","201617","21/09/16","Real Madrid","Villarreal",1,1,"D",0,1,"A"
"47","SP1","201617","21/09/16","Sociedad","Las Palmas",4,1,"H",3,0,"H"
"48","SP1","201617","22/09/16","La Coruna","Leganes",1,2,"A",1,0,"H"
"49","SP1","201617","22/09/16","Osasuna","Espanol",1,2,"A",0,1,"A"
"50","SP1","201617","22/09/16","Valencia","Alaves",2,1,"H",1,1,"D"
"51","SP1","201617","23/09/16","Betis","Malaga",1,0,"H",1,0,"H"
"52","SP1","201617","24/09/16","Ath Bilbao","Sevilla",3,1,"H",1,0,"H"
"53","SP1","201617","24/09/16","Eibar","Sociedad",2,0,"H",0,0,"D"
"54","SP1","201617","24/09/16","Las Palmas","Real Madrid",2,2,"D",1,1,"D"
"55","SP1","201617","24/09/16","Sp Gijon","Barcelona",0,5,"A",0,2,"A"
"56","SP1","201617","25/09/16","Ath Madrid","La Coruna",1,0,"H",0,0,"D"
"57","SP1","201617","25/09/16","Espanol","Celta",0,2,"A",0,0,"D"
"58","SP1","201617","25/09/16","Leganes","Valencia",1,2,"A",1,1,"D"
"59","SP1","201617","25/09/16","Villarreal","Osasuna",3,1,"H",3,1,"H"
"60","SP1","201617","26/09/16","Alaves","Granada",3,1,"H",0,0,"D"
"61","SP1","201617","30/09/16","Sociedad","Betis",1,0,"H",0,0,"D"
"62","SP1","201617","01/10/16","Granada","Leganes",0,1,"A",0,0,"D"
"63","SP1","201617","01/10/16","La Coruna","Sp Gijon",2,1,"H",1,0,"H"
"64","SP1","201617","01/10/16","Osasuna","Las Palmas",2,2,"D",2,0,"H"
"65","SP1","201617","01/10/16","Sevilla","Alaves",2,1,"H",0,0,"D"
"66","SP1","201617","02/10/16","Celta","Barcelona",4,3,"H",3,0,"H"
"67","SP1","201617","02/10/16","Espanol","Villarreal",0,0,"D",0,0,"D"
"68","SP1","201617","02/10/16","Malaga","Ath Bilbao",2,1,"H",0,1,"A"
"69","SP1","201617","02/10/16","Real Madrid","Eibar",1,1,"D",1,1,"D"
"70","SP1","201617","02/10/16","Valencia","Ath Madrid",0,2,"A",0,0,"D"
"71","SP1","201617","14/10/16","Las Palmas","Espanol",0,0,"D",0,0,"D"
"72","SP1","201617","15/10/16","Ath Madrid","Granada",7,1,"H",2,1,"H"
"73","SP1","201617","15/10/16","Barcelona","La Coruna",4,0,"H",3,0,"H"
"74","SP1","201617","15/10/16","Betis","Real Madrid",1,6,"A",0,4,"A"
"75","SP1","201617","15/10/16","Leganes","Sevilla",2,3,"A",0,1,"A"
"76","SP1","201617","16/10/16","Alaves","Malaga",1,1,"D",1,0,"H"
"77","SP1","201617","16/10/16","Ath Bilbao","Sociedad",3,2,"H",0,1,"A"
"78","SP1","201617","16/10/16","Sp Gijon","Valencia",1,2,"A",1,1,"D"
"79","SP1","201617","16/10/16","Villarreal","Celta",5,0,"H",3,0,"H"
"80","SP1","201617","17/10/16","Eibar","Osasuna",2,3,"A",2,2,"D"
"81","SP1","201617","21/10/16","Osasuna","Betis",1,2,"A",0,1,"A"
"82","SP1","201617","22/10/16","Espanol","Eibar",3,3,"D",0,3,"A"
"83","SP1","201617","22/10/16","Granada","Sp Gijon",0,0,"D",0,0,"D"
"84","SP1","201617","22/10/16","Sociedad","Alaves",3,0,"H",1,0,"H"
"85","SP1","201617","22/10/16","Valencia","Barcelona",2,3,"A",0,1,"A"
"86","SP1","201617","23/10/16","Celta","La Coruna",4,1,"H",1,1,"D"
"87","SP1","201617","23/10/16","Malaga","Leganes",4,0,"H",2,0,"H"
"88","SP1","201617","23/10/16","Real Madrid","Ath Bilbao",2,1,"H",1,1,"D"
"89","SP1","201617","23/10/16","Sevilla","Ath Madrid",1,0,"H",0,0,"D"
"90","SP1","201617","23/10/16","Villarreal","Las Palmas",2,1,"H",0,1,"A"
"91","SP1","201617","28/10/16","Leganes","Sociedad",0,2,"A",0,1,"A"
"92","SP1","201617","29/10/16","Alaves","Real Madrid",1,4,"A",1,2,"A"
"93","SP1","201617","29/10/16","Ath Madrid","Malaga",4,2,"H",3,1,"H"
"94","SP1","201617","29/10/16","Barcelona","Granada",1,0,"H",0,0,"D"
"95","SP1","201617","29/10/16","Sp Gijon","Sevilla",1,1,"D",1,1,"D"
"96","SP1","201617","30/10/16","Ath Bilbao","Osasuna",1,1,"D",1,1,"D"
"97","SP1","201617","30/10/16","Betis","Espanol",0,1,"A",0,0,"D"
"98","SP1","201617","30/10/16","Eibar","Villarreal",2,1,"H",0,1,"A"
"99","SP1","201617","30/10/16","Las Palmas","Celta",3,3,"D",0,3,"A"
"100","SP1","201617","31/10/16","La Coruna","Valencia",1,1,"D",1,0,"H"
"101","SP1","201617","04/11/16","Malaga","Sp Gijon",3,2,"H",1,1,"D"
"102","SP1","201617","05/11/16","Granada","La Coruna",1,1,"D",0,0,"D"
"103","SP1","201617","05/11/16","Las Palmas","Eibar",1,0,"H",0,0,"D"
"104","SP1","201617","05/11/16","Osasuna","Alaves",0,1,"A",0,0,"D"
"105","SP1","201617","05/11/16","Sociedad","Ath Madrid",2,0,"H",0,0,"D"
"106","SP1","201617","06/11/16","Celta","Valencia",2,1,"H",1,1,"D"
"107","SP1","201617","06/11/16","Espanol","Ath Bilbao",0,0,"D",0,0,"D"
"108","SP1","201617","06/11/16","Real Madrid","Leganes",3,0,"H",2,0,"H"
"109","SP1","201617","06/11/16","Sevilla","Barcelona",1,2,"A",1,1,"D"
"110","SP1","201617","06/11/16","Villarreal","Betis",2,0,"H",1,0,"H"
"111","SP1","201617","18/11/16","Betis","Las Palmas",2,0,"H",2,0,"H"
"112","SP1","201617","19/11/16","Ath Madrid","Real Madrid",0,3,"A",0,1,"A"
"113","SP1","201617","19/11/16","Barcelona","Malaga",0,0,"D",0,0,"D"
"114","SP1","201617","19/11/16","Eibar","Celta",1,0,"H",1,0,"H"
"115","SP1","201617","19/11/16","La Coruna","Sevilla",2,3,"A",2,1,"H"
"116","SP1","201617","20/11/16","Alaves","Espanol",0,1,"A",0,0,"D"
"117","SP1","201617","20/11/16","Ath Bilbao","Villarreal",1,0,"H",0,0,"D"
"118","SP1","201617","20/11/16","Sp Gijon","Sociedad",1,3,"A",1,1,"D"
"119","SP1","201617","20/11/16","Valencia","Granada",1,1,"D",0,1,"A"
"120","SP1","201617","21/11/16","Leganes","Osasuna",2,0,"H",1,0,"H"
"121","SP1","201617","25/11/16","Eibar","Betis",3,1,"H",2,0,"H"
"122","SP1","201617","26/11/16","Espanol","Leganes",3,0,"H",0,0,"D"
"123","SP1","201617","26/11/16","Malaga","La Coruna",4,3,"H",2,1,"H"
"124","SP1","201617","26/11/16","Real Madrid","Sp Gijon",2,1,"H",2,1,"H"
"125","SP1","201617","26/11/16","Sevilla","Valencia",2,1,"H",0,0,"D"
"126","SP1","201617","27/11/16","Celta","Granada",3,1,"H",2,0,"H"
"127","SP1","201617","27/11/16","Osasuna","Ath Madrid",0,3,"A",0,2,"A"
"128","SP1","201617","27/11/16","Sociedad","Barcelona",1,1,"D",0,0,"D"
"129","SP1","201617","27/11/16","Villarreal","Alaves",0,2,"A",0,2,"A"
"130","SP1","201617","28/11/16","Las Palmas","Ath Bilbao",3,1,"H",1,0,"H"
"131","SP1","201617","03/12/16","Ath Madrid","Espanol",0,0,"D",0,0,"D"
"132","SP1","201617","03/12/16","Barcelona","Real Madrid",1,1,"D",0,0,"D"
"133","SP1","201617","03/12/16","Granada","Sevilla",2,1,"H",1,0,"H"
"134","SP1","201617","03/12/16","Leganes","Villarreal",0,0,"D",0,0,"D"
"135","SP1","201617","04/12/16","Alaves","Las Palmas",1,1,"D",1,0,"H"
"136","SP1","201617","04/12/16","Ath Bilbao","Eibar",3,1,"H",1,0,"H"
"137","SP1","201617","04/12/16","Betis","Celta",3,3,"D",1,1,"D"
"138","SP1","201617","04/12/16","Sp Gijon","Osasuna",3,1,"H",1,0,"H"
"139","SP1","201617","04/12/16","Valencia","Malaga",2,2,"D",2,1,"H"
"140","SP1","201617","05/12/16","La Coruna","Sociedad",5,1,"H",3,0,"H"
"141","SP1","201617","09/12/16","Malaga","Granada",1,1,"D",1,0,"H"
"142","SP1","201617","10/12/16","Las Palmas","Leganes",1,1,"D",1,0,"H"
"143","SP1","201617","10/12/16","Osasuna","Barcelona",0,3,"A",0,0,"D"
"144","SP1","201617","10/12/16","Real Madrid","La Coruna",3,2,"H",0,0,"D"
"145","SP1","201617","10/12/16","Sociedad","Valencia",3,2,"H",2,1,"H"
"146","SP1","201617","11/12/16","Betis","Ath Bilbao",1,0,"H",1,0,"H"
"147","SP1","201617","11/12/16","Celta","Sevilla",0,3,"A",0,0,"D"
"148","SP1","201617","11/12/16","Eibar","Alaves",0,0,"D",0,0,"D"
"149","SP1","201617","11/12/16","Espanol","Sp Gijon",2,1,"H",0,0,"D"
"150","SP1","201617","12/12/16","Villarreal","Ath Madrid",3,0,"H",2,0,"H"
"151","SP1","201617","16/12/16","Alaves","Betis",1,0,"H",0,0,"D"
"152","SP1","201617","17/12/16","Ath Madrid","Las Palmas",1,0,"H",0,0,"D"
"153","SP1","201617","17/12/16","Granada","Sociedad",0,2,"A",0,0,"D"
"154","SP1","201617","17/12/16","Sevilla","Malaga",4,1,"H",4,0,"H"
"155","SP1","201617","17/12/16","Sp Gijon","Villarreal",1,3,"A",0,2,"A"
"156","SP1","201617","18/12/16","Barcelona","Espanol",4,1,"H",1,0,"H"
"157","SP1","201617","18/12/16","La Coruna","Osasuna",2,0,"H",2,0,"H"
"158","SP1","201617","18/12/16","Leganes","Eibar",1,1,"D",1,0,"H"
"159","SP1","201617","19/12/16","Ath Bilbao","Celta",2,1,"H",0,0,"D"
"160","SP1","201617","06/01/17","Espanol","La Coruna",1,1,"D",0,0,"D"
"161","SP1","201617","07/01/17","Eibar","Ath Madrid",0,2,"A",0,0,"D"
"162","SP1","201617","07/01/17","Las Palmas","Sp Gijon",1,0,"H",0,0,"D"
"163","SP1","201617","07/01/17","Real Madrid","Granada",5,0,"H",4,0,"H"
"164","SP1","201617","07/01/17","Sociedad","Sevilla",0,4,"A",0,2,"A"
"165","SP1","201617","08/01/17","Ath Bilbao","Alaves",0,0,"D",0,0,"D"
"166","SP1","201617","08/01/17","Betis","Leganes",2,0,"H",0,0,"D"
"167","SP1","201617","08/01/17","Celta","Malaga",3,1,"H",1,0,"H"
"168","SP1","201617","08/01/17","Villarreal","Barcelona",1,1,"D",0,0,"D"
"169","SP1","201617","09/01/17","Osasuna","Valencia",3,3,"D",1,2,"A"
"170","SP1","201617","14/01/17","Ath Madrid","Betis",1,0,"H",1,0,"H"
"171","SP1","201617","14/01/17","Barcelona","Las Palmas",5,0,"H",1,0,"H"
"172","SP1","201617","14/01/17","La Coruna","Villarreal",0,0,"D",0,0,"D"
"173","SP1","201617","14/01/17","Leganes","Ath Bilbao",0,0,"D",0,0,"D"
"174","SP1","201617","15/01/17","Celta","Alaves",1,0,"H",0,0,"D"
"175","SP1","201617","15/01/17","Granada","Osasuna",1,1,"D",0,1,"A"
"176","SP1","201617","15/01/17","Sevilla","Real Madrid",2,1,"H",0,0,"D"
"177","SP1","201617","15/01/17","Sp Gijon","Eibar",2,3,"A",1,3,"A"
"178","SP1","201617","15/01/17","Valencia","Espanol",2,1,"H",1,0,"H"
"179","SP1","201617","16/01/17","Malaga","Sociedad",0,2,"A",0,0,"D"
"180","SP1","201617","20/01/17","Las Palmas","La Coruna",1,1,"D",1,0,"H"
"181","SP1","201617","21/01/17","Alaves","Leganes",2,2,"D",1,1,"D"
"182","SP1","201617","21/01/17","Espanol","Granada",3,1,"H",2,1,"H"
"183","SP1","201617","21/01/17","Real Madrid","Malaga",2,1,"H",2,0,"H"
"184","SP1","201617","21/01/17","Villarreal","Valencia",0,2,"A",0,2,"A"
"185","SP1","201617","22/01/17","Ath Bilbao","Ath Madrid",2,2,"D",1,1,"D"
"186","SP1","201617","22/01/17","Betis","Sp Gijon",0,0,"D",0,0,"D"
"187","SP1","201617","22/01/17","Eibar","Barcelona",0,4,"A",0,1,"A"
"188","SP1","201617","22/01/17","Osasuna","Sevilla",3,4,"A",1,1,"D"
"189","SP1","201617","22/01/17","Sociedad","Celta",1,0,"H",0,0,"D"
"190","SP1","201617","27/01/17","Osasuna","Malaga",1,1,"D",0,0,"D"
"191","SP1","201617","28/01/17","Alaves","Ath Madrid",0,0,"D",0,0,"D"
"192","SP1","201617","28/01/17","Eibar","La Coruna",3,1,"H",2,1,"H"
"193","SP1","201617","28/01/17","Leganes","Celta",0,2,"A",0,1,"A"
"194","SP1","201617","28/01/17","Villarreal","Granada",2,0,"H",1,0,"H"
"195","SP1","201617","29/01/17","Ath Bilbao","Sp Gijon",2,1,"H",0,1,"A"
"196","SP1","201617","29/01/17","Betis","Barcelona",1,1,"D",0,0,"D"
"197","SP1","201617","29/01/17","Espanol","Sevilla",3,1,"H",2,1,"H"
"198","SP1","201617","29/01/17","Real Madrid","Sociedad",3,0,"H",1,0,"H"
"199","SP1","201617","30/01/17","Las Palmas","Valencia",3,1,"H",1,1,"D"
"200","SP1","201617","04/02/17","Ath Madrid","Leganes",2,0,"H",1,0,"H"
"201","SP1","201617","04/02/17","Barcelona","Ath Bilbao",3,0,"H",2,0,"H"
"202","SP1","201617","04/02/17","Malaga","Espanol",0,1,"A",0,1,"A"
"203","SP1","201617","04/02/17","Valencia","Eibar",0,4,"A",0,2,"A"
"204","SP1","201617","05/02/17","Sevilla","Villarreal",0,0,"D",0,0,"D"
"205","SP1","201617","05/02/17","Sociedad","Osasuna",3,2,"H",0,1,"A"
"206","SP1","201617","05/02/17","Sp Gijon","Alaves",2,4,"A",0,1,"A"
"207","SP1","201617","06/02/17","Granada","Las Palmas",1,0,"H",1,0,"H"
"208","SP1","201617","10/02/17","Espanol","Sociedad",1,2,"A",1,1,"D"
"209","SP1","201617","11/02/17","Alaves","Barcelona",0,6,"A",0,2,"A"
"210","SP1","201617","11/02/17","Ath Bilbao","La Coruna",2,1,"H",0,1,"A"
"211","SP1","201617","11/02/17","Betis","Valencia",0,0,"D",0,0,"D"
"212","SP1","201617","11/02/17","Osasuna","Real Madrid",1,3,"A",1,1,"D"
"213","SP1","201617","12/02/17","Ath Madrid","Celta",3,2,"H",1,1,"D"
"214","SP1","201617","12/02/17","Las Palmas","Sevilla",0,1,"A",0,0,"D"
"215","SP1","201617","12/02/17","Leganes","Sp Gijon",0,2,"A",0,0,"D"
"216","SP1","201617","12/02/17","Villarreal","Malaga",1,1,"D",0,1,"A"
"217","SP1","201617","13/02/17","Eibar","Granada",4,0,"H",2,0,"H"
"218","SP1","201617","17/02/17","Granada","Betis",4,1,"H",3,0,"H"
"219","SP1","201617","18/02/17","La Coruna","Alaves",0,1,"A",0,0,"D"
"220","SP1","201617","18/02/17","Real Madrid","Espanol",2,0,"H",1,0,"H"
"221","SP1","201617","18/02/17","Sevilla","Eibar",2,0,"H",1,0,"H"
"222","SP1","201617","18/02/17","Sp Gijon","Ath Madrid",1,4,"A",0,0,"D"
"223","SP1","201617","19/02/17","Barcelona","Leganes",2,1,"H",1,0,"H"
"224","SP1","201617","19/02/17","Celta","Osasuna",3,0,"H",1,0,"H"
"225","SP1","201617","19/02/17","Sociedad","Villarreal",0,1,"A",0,0,"D"
"226","SP1","201617","19/02/17","Valencia","Ath Bilbao",2,0,"H",2,0,"H"
"227","SP1","201617","20/02/17","Malaga","Las Palmas",2,1,"H",2,1,"H"
"228","SP1","201617","22/02/17","Valencia","Real Madrid",2,1,"H",2,1,"H"
"229","SP1","201617","24/02/17","Las Palmas","Sociedad",0,1,"A",0,0,"D"
"230","SP1","201617","25/02/17","Alaves","Valencia",2,1,"H",0,0,"D"
"231","SP1","201617","25/02/17","Betis","Sevilla",1,2,"A",1,0,"H"
"232","SP1","201617","25/02/17","Eibar","Malaga",3,0,"H",1,0,"H"
"233","SP1","201617","25/02/17","Leganes","La Coruna",4,0,"H",2,0,"H"
"234","SP1","201617","26/02/17","Ath Bilbao","Granada",3,1,"H",2,1,"H"
"235","SP1","201617","26/02/17","Ath Madrid","Barcelona",1,2,"A",0,0,"D"
"236","SP1","201617","26/02/17","Espanol","Osasuna",3,0,"H",1,0,"H"
"237","SP1","201617","26/02/17","Sp Gijon","Celta",1,1,"D",0,0,"D"
"238","SP1","201617","26/02/17","Villarreal","Real Madrid",2,3,"A",0,0,"D"
"239","SP1","201617","28/02/17","Malaga","Betis",1,2,"A",1,0,"H"
"240","SP1","201617","28/02/17","Sociedad","Eibar",2,2,"D",1,1,"D"
"241","SP1","201617","28/02/17","Valencia","Leganes",1,0,"H",1,0,"H"
"242","SP1","201617","01/03/17","Barcelona","Sp Gijon",6,1,"H",3,1,"H"
"243","SP1","201617","01/03/17","Celta","Espanol",2,2,"D",2,2,"D"
"244","SP1","201617","01/03/17","Granada","Alaves",2,1,"H",1,0,"H"
"245","SP1","201617","01/03/17","Osasuna","Villarreal",1,4,"A",0,2,"A"
"246","SP1","201617","01/03/17","Real Madrid","Las Palmas",3,3,"D",1,1,"D"
"247","SP1","201617","02/03/17","La Coruna","Ath Madrid",1,1,"D",1,0,"H"
"248","SP1","201617","02/03/17","Sevilla","Ath Bilbao",1,0,"H",1,0,"H"
"249","SP1","201617","03/03/17","Betis","Sociedad",2,3,"A",1,2,"A"
"250","SP1","201617","04/03/17","Barcelona","Celta",5,0,"H",2,0,"H"
"251","SP1","201617","04/03/17","Eibar","Real Madrid",1,4,"A",0,3,"A"
"252","SP1","201617","04/03/17","Leganes","Granada",1,0,"H",0,0,"D"
"253","SP1","201617","04/03/17","Villarreal","Espanol",2,0,"H",1,0,"H"
"254","SP1","201617","05/03/17","Ath Bilbao","Malaga",1,0,"H",0,0,"D"
"255","SP1","201617","05/03/17","Ath Madrid","Valencia",3,0,"H",1,0,"H"
"256","SP1","201617","05/03/17","Las Palmas","Osasuna",5,2,"H",1,2,"A"
"257","SP1","201617","05/03/17","Sp Gijon","La Coruna",0,1,"A",0,1,"A"
"258","SP1","201617","06/03/17","Alaves","Sevilla",1,1,"D",0,1,"A"
"259","SP1","201617","08/03/17","La Coruna","Betis",1,1,"D",0,0,"D"
"260","SP1","201617","10/03/17","Espanol","Las Palmas",4,3,"H",2,1,"H"
"261","SP1","201617","11/03/17","Granada","Ath Madrid",0,1,"A",0,0,"D"
"262","SP1","201617","11/03/17","Malaga","Alaves",1,2,"A",0,1,"A"
"263","SP1","201617","11/03/17","Sevilla","Leganes",1,1,"D",1,1,"D"
"264","SP1","201617","11/03/17","Valencia","Sp Gijon",1,1,"D",0,0,"D"
"265","SP1","201617","12/03/17","Celta","Villarreal",0,1,"A",0,1,"A"
"266","SP1","201617","12/03/17","La Coruna","Barcelona",2,1,"H",1,0,"H"
"267","SP1","201617","12/03/17","Real Madrid","Betis",2,1,"H",1,1,"D"
"268","SP1","201617","12/03/17","Sociedad","Ath Bilbao",0,2,"A",0,1,"A"
"269","SP1","201617","13/03/17","Osasuna","Eibar",1,1,"D",0,0,"D"
"270","SP1","201617","17/03/17","Las Palmas","Villarreal",1,0,"H",1,0,"H"
"271","SP1","201617","18/03/17","Alaves","Sociedad",1,0,"H",1,0,"H"
"272","SP1","201617","18/03/17","Ath Bilbao","Real Madrid",1,2,"A",0,1,"A"
"273","SP1","201617","18/03/17","Betis","Osasuna",2,0,"H",2,0,"H"
"274","SP1","201617","18/03/17","Eibar","Espanol",1,1,"D",1,0,"H"
"275","SP1","201617","19/03/17","Ath Madrid","Sevilla",3,1,"H",1,0,"H"
"276","SP1","201617","19/03/17","Barcelona","Valencia",4,2,"H",2,2,"D"
"277","SP1","201617","19/03/17","La Coruna","Celta",0,1,"A",0,0,"D"
"278","SP1","201617","19/03/17","Leganes","Malaga",0,0,"D",0,0,"D"
"279","SP1","201617","19/03/17","Sp Gijon","Granada",3,1,"H",0,0,"D"
"280","SP1","201617","31/03/17","Espanol","Betis",2,1,"H",0,0,"D"
"281","SP1","201617","01/04/17","Malaga","Ath Madrid",0,2,"A",0,1,"A"
"282","SP1","201617","01/04/17","Osasuna","Ath Bilbao",1,2,"A",0,2,"A"
"283","SP1","201617","01/04/17","Sociedad","Leganes",1,1,"D",0,1,"A"
"284","SP1","201617","01/04/17","Villarreal","Eibar",2,3,"A",1,0,"H"
"285","SP1","201617","02/04/17","Granada","Barcelona",1,4,"A",0,1,"A"
"286","SP1","201617","02/04/17","Real Madrid","Alaves",3,0,"H",1,0,"H"
"287","SP1","201617","02/04/17","Sevilla","Sp Gijon",0,0,"D",0,0,"D"
"288","SP1","201617","02/04/17","Valencia","La Coruna",3,0,"H",2,0,"H"
"289","SP1","201617","03/04/17","Celta","Las Palmas",3,1,"H",2,0,"H"
"290","SP1","201617","04/04/17","Ath Bilbao","Espanol",2,0,"H",2,0,"H"
"291","SP1","201617","04/04/17","Ath Madrid","Sociedad",1,0,"H",1,0,"H"
"292","SP1","201617","04/04/17","Betis","Villarreal",0,1,"A",0,0,"D"
"293","SP1","201617","05/04/17","Alaves","Osasuna",0,1,"A",0,0,"D"
"294","SP1","201617","05/04/17","Barcelona","Sevilla",3,0,"H",3,0,"H"
"295","SP1","201617","05/04/17","La Coruna","Granada",0,0,"D",0,0,"D"
"296","SP1","201617","05/04/17","Leganes","Real Madrid",2,4,"A",2,3,"A"
"297","SP1","201617","05/04/17","Sp Gijon","Malaga",0,1,"A",0,1,"A"
"298","SP1","201617","06/04/17","Eibar","Las Palmas",3,1,"H",2,0,"H"
"299","SP1","201617","06/04/17","Valencia","Celta",3,2,"H",1,1,"D"
"300","SP1","201617","07/04/17","Villarreal","Ath Bilbao",3,1,"H",1,1,"D"
"301","SP1","201617","08/04/17","Espanol","Alaves",1,0,"H",0,0,"D"
"302","SP1","201617","08/04/17","Malaga","Barcelona",2,0,"H",1,0,"H"
"303","SP1","201617","08/04/17","Real Madrid","Ath Madrid",1,1,"D",0,0,"D"
"304","SP1","201617","08/04/17","Sevilla","La Coruna",4,2,"H",3,2,"H"
"305","SP1","201617","09/04/17","Celta","Eibar",0,2,"A",0,1,"A"
"306","SP1","201617","09/04/17","Granada","Valencia",1,3,"A",0,2,"A"
"307","SP1","201617","09/04/17","Las Palmas","Betis",4,1,"H",1,0,"H"
"308","SP1","201617","09/04/17","Osasuna","Leganes",2,1,"H",1,1,"D"
"309","SP1","201617","10/04/17","Sociedad","Sp Gijon",3,1,"H",2,0,"H"
"310","SP1","201617","14/04/17","Ath Bilbao","Las Palmas",5,1,"H",3,1,"H"
"311","SP1","201617","15/04/17","Ath Madrid","Osasuna",3,0,"H",1,0,"H"
"312","SP1","201617","15/04/17","Barcelona","Sociedad",3,2,"H",3,2,"H"
"313","SP1","201617","15/04/17","La Coruna","Malaga",2,0,"H",0,0,"D"
"314","SP1","201617","15/04/17","Sp Gijon","Real Madrid",2,3,"A",1,1,"D"
"315","SP1","201617","16/04/17","Betis","Eibar",2,0,"H",1,0,"H"
"316","SP1","201617","16/04/17","Granada","Celta",0,3,"A",0,1,"A"
"317","SP1","201617","16/04/17","Leganes","Espanol",0,1,"A",0,0,"D"
"318","SP1","201617","16/04/17","Valencia","Sevilla",0,0,"D",0,0,"D"
"319","SP1","201617","17/04/17","Alaves","Villarreal",2,1,"H",2,0,"H"
"320","SP1","201617","21/04/17","Sevilla","Granada",2,0,"H",1,0,"H"
"321","SP1","201617","22/04/17","Espanol","Ath Madrid",0,1,"A",0,0,"D"
"322","SP1","201617","22/04/17","Malaga","Valencia",2,0,"H",2,0,"H"
"323","SP1","201617","22/04/17","Osasuna","Sp Gijon",2,2,"D",1,0,"H"
"324","SP1","201617","22/04/17","Villarreal","Leganes",2,1,"H",0,0,"D"
"325","SP1","201617","23/04/17","Celta","Betis",0,1,"A",0,0,"D"
